number of events,Date of event in YYYY-MM-DD format,,,,start of curbe military time,end of curbe military time,length of cube in hours,,,Address of the cube location,City of the event,State of the event,Total # of people that took the vegan message seriously,Total # of people that took the vegan message seriously for Andrew,Length of time stood in the cube for Andrew in hours,Total # of people that took the vegan message seriously for Cady,Length of time stood in the cube for Cady in hours
N,Date,Year,Month,Day,Time.Start,Time.End,Total.Time,Lat,Lon,Location,City,State,Total.Tally,Andrew.Tally,Andrew_Cube_Time,Cady.Tally,Cady_Cube_Time
43,2019-04-14,2019,4,14,17:00,20:00,3,29.230889,-81.009939,250 N Atlantic Ave,Daytona Beach,Florida,92,4,0.5,,
44,2019-04-18,2019,4,18,17:30,19:30,2,29.6491,-82.3437,Turlington Plaza,Gainesville,Florida,28,9,0,,
45,2019-04-20,2019,4,20,17:30,20:00,2.5,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,207,11,0,,
46,2019-05-04,2019,5,4,18:30,21:00,2.5,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,197,2,0,,
47,2019-06-23,2019,6,23,19:00,21:00,2,30.324386,-81.396732,241 Atlantic Blvd,Jacksonville,Florida,54,0,0.25,,
48,2019-06-29,2019,6,29,15:00,17:00,2,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,93,8,0,,
49,2019-07-06,2019,7,6,19:30,21:30,2,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,21,2,0.25,,
50,2019-07-27,2019,7,27,17:00,20:30,2.5,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,92,15,0.75,,
51,2019-08-03,2019,8,3,19:30,21:30,2,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,15,5,0.75,,
52,2019-08-25,2019,8,25,19:00,22:00,3,29.230889,-81.009939,250 N Atlantic Ave,Daytona Beach,Florida,52,8,0,0,2.5
53,2019-09-08,2019,9,8,19:30,21:30,2,29.6503,-82.323927,SE 1st st and 2nd ave,Gainesville,Florida,18,5,0,0,2
54,2019-09-22,2019,9,22,15:00,18:00,3,39.949424,-75.171886,Rittenhouse Square,Philadelphia,Pennsylvania,49,5,0.5,,
55,2019-09-28,2019,9,28,19:00,21:00,2,30.324386,-81.396732,241 Atlantic Blvd,Jacksonville,Florida,43,5,0.5,,
56,2019-10-19,2019,10,19,18:30,19:30,1,30.324386,-81.396732,241 Atlantic Blvd,Jacksonville,Florida,7,3,0,0,1
57,2019-11-02,2019,11,2,18:00,19:30,1.5,30.324386,-81.396732,241 Atlantic Blvd,Jacksonville,Florida,22,0,0.25,0,1.5
58,2019-11-16,2019,11,16,16:30,18:00,2.5,29.894656,-81.312949,"102 Saint George St, Saint Augustine",St. Augustine,Florida,92,6,0,,
59,2019-11-23,2019,11,23,18:00,20:00,2,30.3139,-81.681084,1059 park st,Jacksonville,Florida,36,0,0.5,,
60,2019-11-30,2019,11,30,16:00,18:00,2,29.650775,-82.34284,Plaza of the americas,Gainesville,Florida,22,6,0.75,,
